NAME,PRODUCT_SUB_TYPE,WRAPPER_GROUP,COUPON_TYPE,HAS_COUPON_BARRIER,HAS_COUPON,HAS_COUPON_MEMORY,CALL_TYPE,HAS_CALL_PREMIUM,HAS_STEP_UP_AUTO_CALL_HURDLE,HAS_STEP_DOWN_AUTO_CALL_HURDLE,HAS_UPSIDE_PARTICIPATION,HAS_MAXIMUM_RETURN,HAS_DIGITAL_RETURN,HAS_UPSIDE_ABOVE_DIGITAL_RETURN,HAS_UPSIDE_KNOCKOUT,HAS_ABSOLUTE_RETURN,HAS_GEARED_DOWNSIDE,DOWNSIDE_PROTECTION_TYPE,HAS_BEARISH,HAS_RAINBOW,HAS_LOOK_BACK,HAS_REBATE,MULTIPLE_FINAL_VALUATION_DATES_STYLE,HAS_FIXED_TO_FLOAT_TERMS,HAS_ONE_STAR
Barrier Issuer-Callable Contingent Yield Note,YIELD,NOTE,CONTINGENT,True,True,False,ISSUER_CALLABLE,False,False,False,False,False,False,False,False,False,False,BARRIER,False,False,False,False,,False,False
Geared Buffer Issuer-Callable Fixed Yield Note,YIELD,NOTE,FIXED,False,True,False,ISSUER_CALLABLE,False,False,False,False,False,False,False,False,False,True,BUFFER,False,False,False,,,False,False
Barrier Uncapped Growth Note,GROWTH,NOTE,,False,False,False,,False,False,False,True,False,False,False,False,False,False,BARRIER,False,False,False,False,,False,False
Floor Issuer-Callable Note,PROTECTION,NOTE,,False,False,False,ISSUER_CALLABLE,True,False,False,False,False,False,False,False,False,False,FLOOR,False,False,False,,,False,False
Buffer Uncapped Growth Note,GROWTH,NOTE,,False,False,False,,False,False,False,True,False,False,False,False,False,False,BUFFER,False,False,False,False,,False,False
Bearish Buffer Capped Growth Note,GROWTH,NOTE,,False,False,False,,False,False,False,False,True,False,False,False,False,False,BUFFER,True,False,False,False,,False,False
Barrier Auto-Callable Uncapped Growth Note,GROWTH,NOTE,,False,False,False,AUTO_CALLABLE,True,False,False,True,False,True,False,False,False,False,BARRIER,False,False,False,False,,False,False
Geared Buffer Digital Note,GROWTH,NOTE,NONE,False,False,False,NONE,False,False,False,False,False,True,False,False,False,True,BUFFER,False,False,False,False,,False,False
Buffer Fixed Yield Note,YIELD,NOTE,FIXED,False,True,False,,False,False,False,False,False,False,False,False,False,False,BUFFER,False,False,False,,,False,False
Geared Buffer Capped Growth Note,GROWTH,NOTE,,False,False,False,,False,False,False,True,True,False,False,False,False,True,BUFFER,False,False,False,False,,False,False
Barrier Issuer-Callable Fixed Yield Note,YIELD,NOTE,FIXED,False,True,False,ISSUER_CALLABLE,False,False,False,False,False,False,False,False,False,False,BARRIER,False,False,False,False,,False,False
Buffer Auto-Callable Memory Yield Note,YIELD,NOTE,CONTINGENT,True,True,True,AUTO_CALLABLE,False,False,False,False,False,False,False,False,False,False,BUFFER,False,False,False,False,,False,False
Barrier Digital Uncapped Growth Note,GROWTH,NOTE,,False,False,False,,False,False,False,False,False,True,True,False,False,False,BARRIER,False,False,False,False,,False,False
Floor Auto-Callable Uncapped Growth Note,PROTECTION,NOTE,,False,False,False,AUTO_CALLABLE,True,True,False,True,False,True,False,False,False,False,FLOOR,False,False,False,False,,False,False
Dual Directional Geared Buffer Auto-Callable Growth Note,GROWTH,NOTE,NONE,False,False,False,AUTO_CALLABLE,True,False,False,True,False,False,False,False,True,True,BUFFER,False,False,False,False,,False,False
Bearish Geared Buffer Capped Growth Note,GROWTH,NOTE,,False,False,False,,False,False,False,False,True,False,False,False,False,True,BUFFER,True,False,False,False,,False,False
Geared Buffer Issuer-Callable Contingent Yield Note,YIELD,NOTE,CONTINGENT,True,True,False,ISSUER_CALLABLE,False,False,False,False,False,False,False,False,False,True,BUFFER,False,False,False,False,,False,False
Geared Buffer Issuer-Callable Memory Yield Note,YIELD,NOTE,CONTINGENT,True,True,True,ISSUER_CALLABLE,False,False,False,False,False,False,False,False,False,True,BUFFER,False,False,False,,,False,False
Bearish Floor Geared Buffer Capped Growth Note,PROTECTION,NOTE,,False,False,False,,False,False,False,True,True,False,False,False,True,True,BUFFER,True,False,False,,,False,False
Barrier Floating Yield Note,YIELD,NOTE,FLOATING,False,True,False,,False,False,False,False,False,False,False,False,False,False,FLOOR,False,False,False,False,,False,False
Floor Capped Growth Note,PROTECTION,NOTE,,False,False,False,,False,False,False,True,True,False,False,False,False,False,FLOOR,False,False,False,False,,False,False
Barrier Dual Directional Capped Growth Note,GROWTH,NOTE,,False,False,False,,False,False,False,True,True,False,False,False,True,False,BARRIER,False,False,False,False,,False,False
Allocation Note,GROWTH,NOTE,,False,False,False,,False,False,False,True,False,False,False,False,False,False,FULL,False,True,False,False,,False,False
Buffer Capped Growth Note,GROWTH,NOTE,,False,False,False,,False,False,False,True,True,False,False,False,False,False,BUFFER,False,False,False,False,,False,False
Buffer Auto-Callable Range Accrual Note,YIELD,NOTE,ACCRUAL,True,True,False,AUTO_CALLABLE,False,False,False,False,False,False,False,False,False,False,BUFFER,False,False,False,False,,False,False
Geared Buffer Auto-Callable Step-Down Note,GROWTH,NOTE,,False,False,False,AUTO_CALLABLE,True,False,True,False,False,True,False,False,False,True,BUFFER,False,False,False,False,,False,False
Barrier Auto-Callable Step-Down Memory Yield Note,YIELD,NOTE,CONTINGENT,True,True,True,AUTO_WITH_STEP,False,False,True,False,False,False,False,False,False,False,BARRIER,False,False,False,False,,False,False
